기준월,산업20,수출액_USD,HSK10_활성수,MTI6_활성수,수출액_십억달러,YoY_%,MoM_%,3M_YoY_%,Momentum_Gap_pp
2025-10-01,선박류,4688471683.0,39,12,4.688471683,,62.07091286049133,,
2025-11-01,선박류,1853756567.0,38,11,1.853756567,,-60.46138928978575,,
2025-12-01,선박류,3033083009.0,43,14,3.033083009,,63.618193617975734,,
2026-01-01,선박류,2476276518.0,42,12,2.476276518,-0.0879199136292419,-18.35777291118642,-0.0879199136292419,0.0
2026-02-01,선박류,2212546342.0,41,12,2.212546342,41.32961171575291,-10.650271651124221,20.620845901061834,20.708765814691077
2026-03-01,선박류,3525326423.0,43,11,3.525326423,10.822786829562748,59.33345015559453,17.354826210562138,-6.5320393809993895
2026-04-01,선박류,2897202395.0,42,14,2.897202395,44.19361762865635,-17.8174714234115,32.115338724657335,12.078278903999013
2026-05-01,선박류,2608356063.0,41,12,2.608356063,16.477694960650368,-9.969836159824109,23.83136647295649,-7.353671512306121
2026-06-01,선박류,2825190536.0,42,14,2.825190536,12.688440087923158,8.313070292658132,24.453250892409958,-11.7648108044868
2026-07-01,선박류,3292014387.0,44,11,3.292014387,46.909575545483584,16.5236236300347,25.358570198019038,21.551005347464546
2025-01-01,섬유류,782505357.0,1211,143,0.782505357,,,,
2025-02-01,섬유류,871370532.0,1202,142,0.871370532,,11.35649413835258,,
2025-03-01,섬유류,885148315.0,1216,143,0.885148315,,1.5811623751352588,,
2025-04-01,섬유류,988922289.0,1215,141,0.988922289,,11.723907987103832,,
2025-05-01,섬유류,913353308.0,1215,141,0.913353308,,-7.641548971094125,,
2025-06-01,섬유류,868678720.0,1216,142,0.86867872,,-4.891271275715359,,
2025-07-01,섬유류,900967322.0,1214,143,0.900967322,,3.716978585592612,,
2025-08-01,섬유류,749509369.0,1217,143,0.749509369,,-16.810593381321326,,
2025-09-01,섬유류,942783196.0,1212,142,0.942783196,,25.78671261412877,,
2025-10-01,섬유류,771485396.0,1213,142,0.771485396,,-18.16937348128127,,
2025-11-01,섬유류,894191413.0,1220,142,0.894191413,,15.905163939098088,,
2025-12-01,섬유류,964448621.0,1216,143,0.964448621,,7.857065833845134,,
2026-01-01,섬유류,842616920.0,1215,142,0.84261692,7.681936291204194,-12.63226452371069,7.681936291204194,0.0
2026-02-01,섬유류,727014419.0,1199,141,0.727014419,-16.56655896644437,-13.719461152049972,-4.442311337620087,-12.124247628824282
2026-03-01,섬유류,928525878.0,1215,142,0.928525878,4.900598268664158,27.717670204832622,-1.3280081355253384,6.228606404189496
2026-04-01,섬유류,1048477378.0,1214,141,1.048477378,6.0222213274434555,12.918487555604784,-1.8812464567789184,7.903467784222374
2026-05-01,섬유류,851432526.0,1207,140,0.851432526,-6.77949939608693,-18.793429036673025,1.3811067333402278,-8.160606129427158
2026-06-01,섬유류,968050642.0,1216,142,0.968050642,11.439433211855366,13.696694974511692,3.5607183810706307,7.878714830784736
2026-07-01,섬유류,932499958.0,1218,142,0.932499958,3.499864560015631,-3.672399196652776,2.7199327919280223,0.7799317680876086
2025-01-01,이차전지,519564198.0,10,4,0.519564198,,,,
2025-02-01,이차전지,628637926.0,10,4,0.628637926,,20.99331101331967,,
2025-03-01,이차전지,637203977.0,10,4,0.637203977,,1.3626366857159677,,
2025-04-01,이차전지,698678268.0,10,4,0.698678268,,9.647505856668559,,
2025-05-01,이차전지,523825426.0,10,4,0.523825426,,-25.02623167320269,,
2025-06-01,이차전지,594381030.0,10,4,0.59438103,,13.469297307458316,,
2025-07-01,이차전지,582845310.0,10,4,0.58284531,,-1.9407954523716908,,
2025-08-01,이차전지,485216279.0,10,4,0.485216279,,-16.75041890617598,,
2025-09-01,이차전지,634630862.0,10,4,0.634630862,,30.793398627913724,,
2025-10-01,이차전지,535364930.0,10,4,0.53536493,,-15.641522961421938,,
2025-11-01,이차전지,672449544.0,10,4,0.672449544,,25.60582629123651,,
2025-12-01,이차전지,714703687.0,10,4,0.714703687,,6.283615384532104,,
2026-01-01,이차전지,549515606.0,10,4,0.549515606,5.764717452683299,-23.11280660848193,5.764717452683299,0.0
2026-02-01,이차전지,592605778.0,10,4,0.592605778,-5.731780808910347,7.8414828495334765,0.016468321886475845,-5.7482491307968235
2026-03-01,이차전지,819264951.0,10,4,0.819264951,28.571851490500034,38.24788441397884,9.534929378090995,19.036922112409037
2026-04-01,이차전지,653327591.0,10,4,0.653327591,-6.490924231809658,-20.25441950097533,5.44971548326001,-11.940639715069668
2026-05-01,이차전지,687146757.0,10,4,0.687146757,31.178580285257105,5.176448456468141,17.753169181315826,13.42541110394128
2026-06-01,이차전지,697933739.0,10,4,0.697933739,17.421940434404505,1.5698221508160248,14.036532162617318,3.3854082717871865
2026-07-01,이차전지,682899603.0,10,4,0.682899603,17.166526226315515,-2.154092166620414,21.922348981992375,-4.75582275567686
2025-01-01,일반기계,3424089823.0,1060,122,3.424089823,,,,
2025-02-01,일반기계,3906473739.0,1060,122,3.906473739,,14.0879457296877,,
2025-03-01,일반기계,4157194250.0,1063,121,4.15719425,,6.4180774721956935,,
2025-04-01,일반기계,4321510869.0,1086,122,4.321510869,,3.952584582738705,,
2025-05-01,일반기계,4072419453.0,1068,122,4.072419453,,-5.763989112854873,,
2025-06-01,일반기계,3794898256.0,1076,122,3.794898256,,-6.814651589869025,,
2025-07-01,일반기계,4275180651.0,1075,122,4.275180651,,12.656001889922596,,
2025-08-01,일반기계,3464722620.0,1065,121,3.46472262,,-18.957281508336433,,
2025-09-01,일반기계,4208465431.0,1071,121,4.208465431,,21.46615739761586,,
2025-10-01,일반기계,3340571487.0,1059,121,3.340571487,,-20.622575098443285,,
2025-11-01,일반기계,3821139252.0,1074,122,3.821139252,,14.385794971613496,,
2025-12-01,일반기계,4236257968.0,1082,120,4.236257968,,10.863742162307366,,
2026-01-01,일반기계,3715117449.0,1062,122,3.715117449,8.499415641643937,-12.301907082538655,8.499415641643937,0.0
2026-02-01,일반기계,3275353602.0,1057,122,3.275353602,-16.155750151325922,-11.837145205688493,-3.8281672548409924,-12.32758289648493
2026-03-01,일반기계,3892662755.0,1046,121,3.892662755,-6.363221901406224,18.847099519974208,-4.6731854703627365,-1.6900364310434872
2026-04-01,일반기계,4205692193.0,1071,122,4.205692193,-2.6800505543284836,8.041524727461269,-8.399674202353543,5.71962364802506
2026-05-01,일반기계,3816687160.0,1056,121,3.81668716,-6.279615740751154,-9.249488910469106,-5.10762939882862,-1.1719863419225343
2026-06-01,일반기계,4078050037.0,1068,120,4.078050037,7.461380039697163,6.8478988725918954,-0.4994287517941582,7.9608087914913215
2026-07-01,일반기계,4526786786.0,1069,122,4.526786786,5.8852749284675765,11.00370875611205,2.3556797424711955,3.529595185996381
2025-01-01,자동차,4986813368.0,96,20,4.986813368,,,,
2025-02-01,자동차,6065040333.0,101,20,6.065040333,,21.621562417372587,,
2025-03-01,자동차,6232222031.0,104,23,6.232222031,,2.756481223881746,,
2025-04-01,자동차,6526879880.0,103,21,6.52687988,,4.7279741885691395,,
2025-05-01,자동차,6197603809.0,99,20,6.197603809,,-5.044923103441579,,
2025-06-01,자동차,6340134741.0,102,20,6.340134741,,2.2997748225373815,,
2025-07-01,자동차,5829848835.0,92,18,5.829848835,,-8.048502545223746,,
2025-08-01,자동차,5488581021.0,96,18,5.488581021,,-5.853802108061002,,
2025-09-01,자동차,6403543714.0,102,20,6.403543714,,16.670295828725813,,
2025-10-01,자동차,5543134596.0,102,22,5.543134596,,-13.436452633545649,,
2025-11-01,자동차,6408887048.0,106,23,6.408887048,,15.618463470555778,,
2025-12-01,자동차,5951832601.0,106,21,5.951832601,,-7.131572823437904,,
2026-01-01,자동차,6066082256.0,90,18,6.066082256,21.64245598051826,1.9195710407044153,21.64245598051826,0.0
2026-02-01,자동차,4801739453.0,89,18,4.801739453,-20.82922471473695,-20.84282325300536,0.40661563289065583,-21.235840347627605
2026-03-01,자동차,6367235029.0,102,20,6.367235029,2.1663701538299662,32.602676411814045,0.9932004732037593,1.173169680626207
2026-04-01,자동차,6161569218.0,104,20,6.161569218,-5.597018310684765,-3.2300646994069093,-8.086624290530581,2.489605979845816
2026-05-01,자동차,5821011321.0,97,20,5.821011321,-6.0764208169151175,-5.527129290459265,-3.169022991256639,-2.9073978256584785
2026-06-01,자동차,6703054256.0,98,19,6.703054256,5.724160918112586,15.152743850848104,-1.9830927364957656,7.707253654608352
2026-07-01,자동차,6237951936.0,97,21,6.237951936,7.000234698195218,-6.938662619113966,2.215991599797562,4.784243098397656
2025-01-01,자동차부품,1562600613.0,60,3,1.562600613,,,,
2025-02-01,자동차부품,1855822775.0,61,3,1.855822775,,18.765010045468355,,
2025-03-01,자동차부품,1827635041.0,61,3,1.827635041,,-1.5188807023881923,,
2025-04-01,자동차부품,2016280238.0,61,3,2.016280238,,10.321819880230665,,
2025-05-01,자동차부품,1653810957.0,61,3,1.653810957,,-17.977128088084747,,
2025-06-01,자동차부품,1786194574.0,59,3,1.786194574,,8.0047611511864,,
2025-07-01,자동차부품,1908973888.0,62,3,1.908973888,,6.873792798790568,,
2025-08-01,자동차부품,1661311943.0,59,3,1.661311943,,-12.973563785069441,,
2025-09-01,자동차부품,1911174349.0,60,3,1.911174349,,15.040065597120677,,
2025-10-01,자동차부품,1509217269.0,60,3,1.509217269,,-21.03194196857652,,
2025-11-01,자동차부품,1560139068.0,60,3,1.560139068,,3.374053560475132,,
2025-12-01,자동차부품,1821561183.0,60,3,1.821561183,,16.75633412187585,,
2026-01-01,자동차부품,1618445963.0,60,3,1.618445963,3.573872270073153,-11.15061200774391,3.573872270073153,0.0
2026-02-01,자동차부품,1431694352.0,60,3,1.431694352,-22.853929195906108,-11.538946326872201,-9.640028462916478,-13.21390073298963
2026-03-01,자동차부품,1783364282.0,61,3,1.783364282,-2.4222975597894547,24.56319880767399,-7.234118161874137,4.811820602084682
2026-04-01,자동차부품,1890800606.0,60,3,1.890800606,-6.223323010122172,6.024362217208523,-10.499849921939244,4.276526911817072
2026-05-01,자동차부품,1551799759.0,59,3,1.551799759,-6.168250220390814,-17.928958025730612,-4.937956930100813,-1.2302932902900006
2026-06-01,자동차부품,1742251211.0,59,3,1.742251211,-2.460166638038397,12.272939913505931,-4.950579956183794,2.490413318145397
2026-07-01,자동차부품,1950923767.0,61,3,1.950923767,2.197509314490942,11.977179564147256,-2.143635847979423,4.341145162470365
2025-01-01,전기기기,1126672915.0,224,62,1.126672915,,,,
2025-02-01,전기기기,1388915778.0,221,63,1.388915778,,23.27586467275642,,
2025-03-01,전기기기,1437957920.0,230,63,1.43795792,,3.5309658639359087,,
2025-04-01,전기기기,1457756755.0,227,63,1.457756755,,1.3768716542136294,,
2025-05-01,전기기기,1351356761.0,231,63,1.351356761,,-7.2988853342682685,,
2025-06-01,전기기기,1583178089.0,229,63,1.583178089,,17.154709599295813,,
2025-07-01,전기기기,1574941524.0,232,63,1.574941524,,-0.5202551157843849,,
2025-08-01,전기기기,1290942640.0,229,62,1.29094264,,-18.03234467262671,,
2025-09-01,전기기기,1480013482.0,233,63,1.480013482,,14.645952201253486,,
2025-10-01,전기기기,1142783853.0,232,63,1.142783853,,-22.78557817894257,,
2025-11-01,전기기기,1282182791.0,224,63,1.282182791,,12.198189328109098,,
2025-12-01,전기기기,1566212480.0,232,63,1.56621248,,22.152043452281834,,
2026-01-01,전기기기,1341088402.0,228,62,1.341088402,19.030854842197044,-14.373789053194109,19.030854842197044,0.0
2026-02-01,전기기기,1186695997.0,229,62,1.186695997,-14.559542356930443,-11.512470376281724,2.2356562426333006,-16.795198599563744
2026-03-01,전기기기,1514716383.0,229,62,1.514716383,5.338018723106996,27.641484156788643,3.269777069457866,2.0682416536491304
