국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러,전체수출대비_비중_%
IL,이스라엘,2026-07-01,164076872,100570867.0,63.14552801856625,-5.792693662676907,0.164076872,0.16580271441412472
KZ,카자흐스탄,2026-07-01,157738197,274640828.0,-42.565641769766295,-7.70975614045769,0.157738197,0.1593973660674732
RO,루마니아,2026-07-01,147893599,54536066.0,171.1849420895156,92.19570195162974,0.147893599,0.14944921767325062
SE,스웨덴,2026-07-01,142664266,184512699.0,-22.680516423425146,21.69775351606933,0.142664266,0.14416487993931723
CO,콜롬비아,2026-07-01,133373544,128276350.0,3.9736038638455096,-4.532437758728869,0.133373544,0.134776433489247
PA,파나마,2026-07-01,124152548,120873217.0,2.713033607767712,19.874552479533712,0.124152548,0.1254584464520381
GU,괌,2026-07-01,121951759,14470115.0,742.7836198952116,10.298014877816343,0.121951759,0.12323450845514146
PK,파키스탄,2026-07-01,111533111,121414018.0,-8.138192906193087,21.05921590788129,0.111533111,0.1127062719165677
AO,앙골라,2026-07-01,109589387,70658899.0,55.09636939007498,2957.9648445086355,0.109589387,0.11074210285761658
IQ,이라크,2026-07-01,94217987,119783635.0,-21.34318932632158,9.161088841054866,0.094217987,0.09520901880208146
NO,노르웨이,2026-07-01,91094249,48825344.0,86.57164811782995,55.40953056312829,0.091094249,0.09205242376705089
OM,오만,2026-07-01,87896495,37808008.0,132.4811584889635,127.76548382479258,0.087896495,0.08882103419479828
UA,우크라이나,2026-07-01,83573842,43126126.0,93.78935636370397,21.581834830094458,0.083573842,0.0844529133735386
BD,방글라데시,2026-07-01,81240326,120556503.0,-32.612240751542046,-58.837330510259754,0.081240326,0.08209485228782512
PE,페루,2026-07-01,77388812,61463397.0,25.91040485445346,4.927982626403593,0.077388812,0.078202826141666
SI,슬로베니아,2026-07-01,77016498,92123939.0,-16.399039341989052,9.25577362229788,0.077016498,0.07782659595722916
PT,포루투갈,2026-07-01,75664892,93838825.0,-19.367178777014736,1.086270484961882,0.075664892,0.0764607730908692
ZA,남아프리카공화국,2026-07-01,68347221,67697391.0,0.9599040530232639,-10.696590992832967,0.068347221,0.06906613117577026
KH,캄보디아,2026-07-01,59064218,57999893.0,1.8350464887926687,-5.146799736877449,0.059064218,0.059685484917993824
MN,몽골,2026-07-01,56832140,39101942.0,45.34352283577117,-14.08743024590583,0.05683214,0.057429928807781964
NG,나이지리아,2026-07-01,56105439,44301594.0,26.64428959373335,-2.849728241968208,0.056105439,0.05669558400403985
DZ,알제리,2026-07-01,52237099,37282337.0,40.11219039192741,29.555895474034365,0.052237099,0.052786554873616554
JO,요르단,2026-07-01,50191889,53857451.0,-6.806044348441221,-15.775668924349784,0.050191889,0.0507198323342759
EC,에쿠아도르,2026-07-01,49779070,68376142.0,-27.19818851435052,-8.294583785774211,0.04977907,0.050302671098037044
LY,리비아,2026-07-01,48203731,39274561.0,22.735250942715822,20.091971870159632,0.048203731,0.04871076189634021
PG,파푸아 뉴기니,2026-07-01,45503141,6348872.0,616.7122128151268,-30.192766196227538,0.045503141,0.04598176574312465
AL,알바니아,2026-07-01,41841642,31835316.0,31.431527175668684,11.011161357491183,0.041841642,0.0422817532695531
MM,미얀마,2026-07-01,39140539,28838193.0,35.724658615052604,22.501301284546482,0.039140539,0.03955223872034756
AR,아르헨티나,2026-07-01,37963582,39333846.0,-3.4836766280114118,-14.856826512751187,0.037963582,0.03836290189931952
QA,카타르,2026-07-01,37459418,48096858.0,-22.116704588062696,111.03930755496405,0.037459418,0.037853434850789465
PR,푸에르토리코,2026-07-01,34730908,40744172.0,-14.758586823165775,62.275816540701776,0.034730908,0.035096225021081826
FI,핀란드,2026-07-01,34549282,33216328.0,4.012948089867119,-2.229593625769044,0.034549282,0.03491268858818237
SV,엘살바도르,2026-07-01,33293857,20944689.0,58.960856377480695,29.20784277200019,0.033293857,0.033644058401574764
GH,가나,2026-07-01,32236432,24077571.0,33.88573124755816,-3.867936664860905,0.032236432,0.032575510877769234
TJ,타지크,2026-07-01,31561328,31166040.0,1.2683292455506034,5.9513376851003,0.031561328,0.03189330579702006
LT,리투아니아,2026-07-01,31450815,49205295.0,-36.08245819885848,-11.243199944867788,0.031450815,0.031781630366140026
MA,모로코,2026-07-01,30243241,34534034.0,-12.42482416042099,-58.43215953786793,0.030243241,0.030561354500228087
LK,스리랑카,2026-07-01,29335666,21251059.0,38.043313512046616,50.155472775283606,0.029335666,0.029644233173497778
EE,에스토니아,2026-07-01,28929370,16524511.0,75.06944683567338,1.3213495316998891,0.02892937,0.0292336635494279
FJ,피지,2026-07-01,25907803,30722326.0,-15.671088836177315,-40.88074440991561,0.025907803,0.026180314199958685
DO,도미니카 공화국,2026-07-01,24737407,20555240.0,20.3459896357328,4.572530617409121,0.024737407,0.024997607390802583
KW,쿠웨이트,2026-07-01,24115403,33005293.0,-26.93474043693538,-58.46524380942253,0.024115403,0.024369060842350326
MZ,모잠비크,2026-07-01,23725999,7669670.0,209.34836831310864,56.915097725055055,0.023725999,0.02397556089676556
GT,과테말라,2026-07-01,23264940,22401992.0,3.8521038664775853,-8.606906389424918,0.02326494,0.023509652248134928
BG,불가리아,2026-07-01,22881718,22719727.0,0.7129971236010002,-7.582216873953584,0.022881718,0.023122399327910985
RS,세르비아,2026-07-01,22315019,16702902.0,33.59965232388959,10.533274672898063,0.022315019,0.022549739505045945
PY,파라과이,2026-07-01,21766600,50999652.0,-57.32010092931614,21.741848174437184,0.0217666,0.02199555196034263
UY,우루과이,2026-07-01,20037689,18630492.0,7.5531929054798885,15.752496778745995,0.020037689,0.020248455411717308
KE,케냐,2026-07-01,19813920,20561954.0,-3.6379519183828535,19.682571111419712,0.01981392,0.02002233269771448
CR,코스타리카,2026-07-01,18603560,17135594.0,8.566764595379661,10.677186205741162,0.01860356,0.018799241527264327
CI,코트디봐르,2026-07-01,18131167,20778361.0,-12.740148272522555,12.32146651542756,0.018131167,0.018321879661966023
SN,세네갈,2026-07-01,16334719,7857690.0,107.88194749347456,34.51668603817129,0.016334719,0.016506535725473708
SY,시리아,2026-07-01,16231417,28501028.0,-43.0497138559353,-27.690715238107543,0.016231417,0.01640214714348997
MT,몰타,2026-07-01,15926503,7291856.0,118.41494127146777,-97.72370527491903,0.015926503,0.01609402590588575
PF,불령 폴리네시아,2026-07-01,15761039,1794082.0,778.5015958021985,58.76396899874487,0.015761039,0.015926821472967145
GE,조지아,2026-07-01,15295558,14222753.0,7.5428786536615,16.8930018304035,0.015295558,0.015456444311533929
AZ,아제르바이잔,2026-07-01,14543307,8962752.0,62.263856012081995,-27.09729701251601,0.014543307,0.014696280760142361
TM,투르크멘,2026-07-01,14255403,1884853.0,656.3137814991408,222.01351356845942,0.014255403,0.014405348442206143
HN,온두라스,2026-07-01,13946225,13268887.0,5.10470848082436,-5.275420550038945,0.013946225,0.014092918353722188
TN,튀니지,2026-07-01,13440966,25797120.0,-47.897416455790406,-23.814451869923204,0.013440966,0.013582344787435734
LV,라트비아,2026-07-01,13350770,5699216.0,134.25625559726112,79.33162993781649,0.01335077,0.013491200060899891
HR,크로아티아,2026-07-01,13234132,12956070.0,2.146190935985981,-47.60877247002657,0.013234132,0.013373335204213481
LA,라오스,2026-07-01,12203159,8013129.0,52.289561293721846,28.276770213182843,0.012203159,0.012331517915743516
TZ,탄자니아,2026-07-01,11772690,17848219.0,-34.0399734001471,-17.869438199049036,0.01177269,0.011896521027997303
LB,레바논,2026-07-01,10738968,7607400.0,41.16476062780976,-7.515891312978562,0.010738968,0.010851925824173587
DJ,지부티,2026-07-01,10502333,10700261.0,-1.849749272471013,-48.129741864006434,0.010502333,0.01061280177916262
