국가코드,국가,비교기간,2025_YTD_USD,2026_YTD_USD,2025_YTD_bn,2026_YTD_bn,YTD_YoY_%,YTD_증감액_bn,YTD_전체수출대비_비중_%
BJ,베닝,1-7월,23158795,24451640,0.023158795,0.02445164,5.582522752155272,0.001292845,0.0041090853845094175
AF,아프카니스탄,1-7월,26294323,23834586,0.026294323,0.023834586,-9.354631416066505,-0.002459737,0.004005389780744063
MU,모리셔스,1-7월,26386167,23306043,0.026386167,0.023306043,-11.673252882845775,-0.003080124,0.003916568404493441
AM,아르메니아,1-7월,17932234,22513497,0.017932234,0.022513497,25.547642307143658,0.004581263,0.0037833814614028592
GN,기니,1-7월,39041596,22458904,0.039041596,0.022458904,-42.47442138379793,-0.016582692,0.0037742071361471087
PS,팔레스타인 해방기구,1-7월,12737459,22033444,0.012737459,0.022033444,72.9814714222044,0.009295985,0.003702708804432206
RE,불령 리유니온 코모도 제도,1-7월,15481856,21006198,0.015481856,0.021006198,35.682685590151465,0.005524342,0.003530080648410943
TG,토고,1-7월,14068301,20918148,0.014068301,0.020918148,48.68993775438839,0.006849847,0.0035152838917064414
CG,콩고,1-7월,17567276,20707147,0.017567276,0.020707147,17.873408489739685,0.003139871,0.0034798252833997236
NP,네팔,1-7월,19023582,20268775,0.019023582,0.020268775,6.545523340451864,0.001245193,0.0034061570968004543
CD,콩고민주공화국,1-7월,13310193,19232555,0.013310193,0.019232555,44.49493707566825,0.005922362,0.0032320208647466393
ZM,잠비아,1-7월,12264449,17041971,0.012264449,0.017041971,38.954232676902166,0.004777522,0.002863894362886634
NC,뉴 칼레도니아,1-7월,6084190,16595332,0.00608419,0.016595332,172.7615672751837,0.010511142,0.0027888369112370965
CM,카메룬,1-7월,12048787,16294006,0.012048787,0.016294006,35.23357994460354,0.004245219,0.0027381992336591226
BN,브루나이,1-7월,38165791,16237173,0.038165791,0.016237173,-57.45621255432647,-0.021928618,0.002728648477568414
AS,아메리칸 사모아,1-7월,5981238,14784531,0.005981238,0.014784531,147.18178744935412,0.008803293,0.002484532744998961
UG,우간다,1-7월,14611770,14436333,0.01461177,0.014436333,-1.2006553620813931,-0.000175437,0.002426018252199484
AW,아루바,1-7월,14025748,13387953,0.014025748,0.013387953,-4.547315408775344,-0.000637795,0.0022498385384701804
GD,그레나다,1-7월,3423046,12679883,0.003423046,0.012679883,270.42689464295836,0.009256837,0.0021308477432429654
HT,아이티,1-7월,10602361,12017949,0.010602361,0.012017949,13.351629886965743,0.001415588,0.002019610078820053
MP,북마리아나 군도,1-7월,11253005,11943517,0.011253005,0.011943517,6.136245385121564,0.000690512,0.0020071018199327227
JM,자마이카,1-7월,20991506,11730835,0.020991506,0.011730835,-44.116277317120556,-0.009260671,0.0019713607204503063
GA,가봉,1-7월,12026241,11669070,0.012026241,0.01166907,-2.9699305044693536,-0.000357171,0.0019609811443247692
MO,마카오,1-7월,7101179,11262562,0.007101179,0.011262562,58.6012970522219,0.004161383,0.0018926676863527823
RW,르완다,1-7월,15357571,10890800,0.015357571,0.0108908,-29.08513983103187,-0.004466771,0.001830193275609127
SC,세이쉘,1-7월,5373843,9547457,0.005373843,0.009547457,77.66535047637231,0.004173614,0.001604445183142404
MQ,마티니크,1-7월,6179579,9146442,0.006179579,0.009146442,48.010762545474385,0.002966863,0.0015370548209634642
NE,니제르,1-7월,3802975,8189340,0.003802975,0.00818934,115.34035853509424,0.004386365,0.001376214327659754
SO,소말리아,1-7월,5736275,8000277,0.005736275,0.008000277,39.468156599884075,0.002264002,0.0013444423888429099
MV,몰디브,1-7월,5128420,7598640,0.00512842,0.00759864,48.16727179131195,0.00247022,0.0012769474998874774
MR,모리타니,1-7월,10043810,7533780,0.01004381,0.00753378,-24.99081523844039,-0.00251003,0.0012660478106216741
BA,보스니아-헤르체고비나,1-7월,5862477,7203468,0.005862477,0.007203468,22.8741366490649,0.001340991,0.0012105390508195476
VU,바누아투,1-7월,5110466,7146331,0.005110466,0.007146331,39.837169447952505,0.002035865,0.0012009372076869512
PW,팔라우,1-7월,9694926,6956106,0.009694926,0.006956106,-28.250035121464567,-0.00273882,0.0011689699953744725
BB,바베이도스,1-7월,5960780,6855851,0.00596078,0.006855851,15.016004616845446,0.000895071,0.0011521221947678876
GP,과델로프,1-7월,6254830,6645033,0.00625483,0.006645033,6.238426943657949,0.000390203,0.00111669433951599
ER,에리트리아,1-7월,6199947,6553974,0.006199947,0.006553974,5.710161715898532,0.000354027,0.0011013919219264934
MK,마세도니아,1-7월,6753647,6393607,0.006753647,0.006393607,-5.331045581742721,-0.00036004,0.0010744423309846335
LI,리히텐슈타인,1-7월,5218111,5785326,0.005218111,0.005785326,10.870121390671827,0.000567215,0.0009722210253063733
CW,큐라소,1-7월,7638693,5539771,0.007638693,0.005539771,-27.47750171397122,-0.002098922,0.0009309556352714631
KY,영령 캐이맨 군도,1-7월,4432320,4931423,0.00443232,0.004931423,11.260536242870556,0.000499103,0.0008287230702780502
ML,말리,1-7월,5227281,4832533,0.005227281,0.004832533,-7.551688918196664,-0.000394748,0.0008121046572115182
SB,솔로몬 군도,1-7월,4824417,4555537,0.004824417,0.004555537,-5.573315905320786,-0.00026888,0.0007655556234793199
Z1,국제통화기금,1-7월,0,4369447,0.0,0.004369447,,0.004369447,0.0007342832957661948
FM,마이크로네시아,1-7월,3941718,4367905,0.003941718,0.004367905,10.812214369470375,0.000426187,0.0007340241634682011
BT,부탄,1-7월,4386368,4326864,0.004386368,0.004326864,-1.3565665261099813,-5.9504e-05,0.0007271272447639485
GQ,적도 기니,1-7월,4925258,3911248,0.004925258,0.003911248,-20.587957016667957,-0.00101401,0.0006572831921291041
TD,챠드,1-7월,2163277,3751916,0.002163277,0.003751916,73.43668887525732,0.001588639,0.0006305075323989325
SR,수리남,1-7월,4229624,3700451,0.004229624,0.003700451,-12.511112098853229,-0.000529173,0.0006218588659162844
KI,키리바티,1-7월,4924026,3612534,0.004924026,0.003612534,-26.634546608811572,-0.001311492,0.0006070844597926086
GM,감비아,1-7월,1786158,3562046,0.001786158,0.003562046,99.42502287031718,0.001775888,0.0005985999776518152
MW,말라위,1-7월,1018272,3470339,0.001018272,0.003470339,240.80668033688445,0.002452067,0.0005831886639993483
SL,시에라 리온,1-7월,16226051,3374278,0.016226051,0.003374278,-79.2045643145088,-0.012851773,0.0005670456629114311
NA,나미비아,1-7월,15340791,3252705,0.015340791,0.003252705,-78.79701900638631,-0.012088086,0.0005466153834925062
CU,쿠바,1-7월,7392890,3205359,0.00739289,0.003205359,-56.64267965572327,-0.004187531,0.0005386589128175337
GF,불령 가이아나,1-7월,1789827,3172459,0.001789827,0.003172459,77.24947718410773,0.001382632,0.0005331300849290829
ME,몬테네그로,1-7월,5767721,2841880,0.005767721,0.00284188,-50.727852474140136,-0.002925841,0.00047757645591582496
BI,부룬디,1-7월,1630274,2268877,0.001630274,0.002268877,39.17151350018464,0.000638603,0.0003812835997891991
LC,세인트 루시아,1-7월,2416126,2118163,0.002416126,0.002118163,-12.332262473066391,-0.000297963,0.0003559561904767378
MF,세인트 마틴,1-7월,7068083,2034363,0.007068083,0.002034363,-71.2176130359533,-0.00503372,0.00034187364406177795
SS,남수단,1-7월,13689541,1904358,0.013689541,0.001904358,-86.08895652527721,-0.011785183,0.0003200263714284025
SX,세인트마틴(생마르탱),1-7월,454545,1877888,0.000454545,0.001877888,313.1357731357731,0.001423343,0.0003155781016956581
DM,도미니카,1-7월,973957,1862400,0.000973957,0.0018624,91.21994092141645,0.000888443,0.00031297535135108885
TV,투발루,1-7월,2874189,1678389,0.002874189,0.001678389,-41.60477964392738,-0.0011958,0.0002820523985066595
MC,모나코,1-7월,398675,1342863,0.000398675,0.001342863,236.83150435818646,0.000944188,0.00022566742871637526
YT,메요트,1-7월,1967296,1222659,0.001967296,0.001222659,-37.850786053547615,-0.000744637,0.00020546720903542255
TC,투르크 & 카이코스 군도,1-7월,1023133,1201714,0.001023133,0.001201714,17.454329007079238,0.000178581,0.00020194741267908202
TL,티모르,1-7월,1527631,1197746,0.001527631,0.001197746,-21.594547374333196,-0.000329885,0.00020128059234287012
