국가코드,국가,품목,HS,비교기간,2025_YTD_USD,2026_YTD_USD,2025_YTD_bn,2026_YTD_bn,YTD_YoY_%,YTD_증감액_bn,YTD_품목수출대비_비중_%
BF,부르키나 파소,전자집적회로,8542,1-7월,43,0,4.3e-08,0.0,-100.0,-4.3e-08,0.0
BY,벨라루스,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
BH,바레인,전자집적회로,8542,1-7월,221,0,2.21e-07,0.0,-100.0,-2.21e-07,0.0
VE,베네주엘라,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
SV,엘살바도르,전자집적회로,8542,1-7월,4434,0,4.434e-06,0.0,-100.0,-4.434e-06,0.0
AD,안도라,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
AZ,아제르바이잔,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
KY,영령 캐이맨 군도,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
KH,캄보디아,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
CM,카메룬,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
IQ,이라크,전자집적회로,8542,1-7월,500,0,5e-07,0.0,-100.0,-5e-07,0.0
IR,이란,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
HT,아이티,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
ET,에티오피아,전자집적회로,8542,1-7월,159,0,1.59e-07,0.0,-100.0,-1.59e-07,0.0
CX,크리스마스 아일랜드,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
CU,쿠바,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
TT,트리니다드 토바고,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
TM,투르크멘,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
TJ,타지크,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
TZ,탄자니아,전자집적회로,8542,1-7월,125,0,1.25e-07,0.0,-100.0,-1.25e-07,0.0
KW,쿠웨이트,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
TL,티모르,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
PG,파푸아 뉴기니,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
PN,피트카이른,전자집적회로,8542,1-7월,4419,0,4.419e-06,0.0,-100.0,-4.419e-06,0.0
