대시보드품목,조회HS,국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러,품목총수출_USD,품목수출대비_비중_%
승용차,8703,MK,마세도니아,2026-07-01,78523,919473.0,-91.45999936920389,-60.52176448703381,7.8523e-05,5954827283,0.0013186444588270353
승용차,8703,FM,마이크로네시아,2026-07-01,5685,16537.0,-65.62254338755518,-90.91780493649652,5.685e-06,5954827283,9.546876390906735e-05
승용차,8703,MQ,마티니크,2026-07-01,4429164,221692.0,1897.8907673709473,323.72545061614414,0.004429164,5954827283,0.07437938649613726
승용차,8703,ML,말리,2026-07-01,11776,,,792.7975739196361,1.1776e-05,5954827283,0.0001977555257331886
승용차,8703,YT,메요트,2026-07-01,36360,,,-94.4884372385191,3.636e-05,5954827283,0.0006105970546585205
승용차,8703,MX,멕시코,2026-07-01,56450012,42497862.0,32.83023978947459,135.66494488656025,0.056450012,5954827283,0.947970601282677
승용차,8703,MA,모로코,2026-07-01,2573591,9972181.0,-74.19229554698215,-19.93728979809729,0.002573591,5954827283,0.04321856668029913
승용차,8703,MU,모리셔스,2026-07-01,147177,1900364.0,-92.25532582178994,-73.77300121532666,0.000147177,5954827283,0.00247155783040366
승용차,8703,MR,모리타니,2026-07-01,245244,80351.0,205.21586539059876,-37.914797525138475,0.000245244,5954827283,0.004118406602658806
승용차,8703,ME,몬테네그로,2026-07-01,11061,381205.0,-97.09841161579727,-96.54819451942791,1.1061e-05,5954827283,0.00018574846043943605
승용차,8703,MD,몰도바,2026-07-01,3465533,1093909.0,216.80267737078677,26.350880583057013,0.003465533,5954827283,0.058197036375739995
승용차,8703,MV,몰디브,2026-07-01,96019,,,,9.6019e-05,5954827283,0.0016124565069102442
승용차,8703,MT,몰타,2026-07-01,486262,899216.0,-45.923782494973395,-73.40210053949328,0.000486262,5954827283,0.008165845571847125
승용차,8703,MN,몽골,2026-07-01,2643612,3367560.0,-21.497701599971496,-38.94247347453303,0.002643612,5954827283,0.044394436217269545
승용차,8703,US,미국,2026-07-01,2743375199,2326379616.0,17.924657701264856,-7.908620799641675,2.743375199,5954827283,46.069769426090005
승용차,8703,MM,미얀마,2026-07-01,13904557,4143132.0,235.60497227701168,52.43675810788218,0.013904557,5954827283,0.2335005926988865
승용차,8703,VU,바누아투,2026-07-01,199372,152007.0,31.159749222075295,114.07694537801589,0.000199372,5954827283,0.0033480735968475944
승용차,8703,BH,바레인,2026-07-01,1103776,775897.0,42.258057448346875,-20.53854698571923,0.001103776,5954827283,0.018535818883464332
승용차,8703,BB,바베이도스,2026-07-01,855201,561200.0,52.38791874554527,106.16393774589214,0.000855201,5954827283,0.014361474470325122
승용차,8703,BS,바하마,2026-07-01,239225,326125.0,-26.646224607129167,27.856016675128934,0.000239225,5954827283,0.004017328943913217
승용차,8703,BD,방글라데시,2026-07-01,31262,,,-93.67923460144928,3.1262e-05,5954827283,0.0005249858394591493
승용차,8703,BM,버뮤다,2026-07-01,794686,964023.0,-17.565659740483376,98.74602976116043,0.000794686,5954827283,0.013345240125917519
승용차,8703,VE,베네주엘라,2026-07-01,238915,733205.0,-67.41497943958375,115.8766444990603,0.000238915,5954827283,0.004012123083436205
승용차,8703,BJ,베닝,2026-07-01,74139,14679.0,405.0684651543021,-4.307140275698284,7.4139e-05,5954827283,0.0012450235158231037
승용차,8703,VN,베트남,2026-07-01,9115032,3107313.0,193.34128875977413,165.8744423656821,0.009115032,5954827283,0.15306962850159964
승용차,8703,BE,벨기에,2026-07-01,38768593,35586985.0,8.940369632324852,-21.09114933985985,0.038768593,5954827283,0.6510447937033811
승용차,8703,BY,벨라루스,2026-07-01,3083388,787064.0,291.75823058861795,19.83150305292871,0.003083388,5954827283,0.05177963782094132
