HSK10,수출액_USD,Master포함
1209999000,52526.0,True
1210100000,0.0,True
1210201000,0.0,True
1211201190,53563.0,True
1211201211,0.0,True
1211201291,290517.0,True
1211201299,5084.0,True
1211201311,90.0,True
1211201319,40000.0,True
1211201391,3248720.0,True
1211201399,236300.0,True
1211202110,1450.0,True
1211202120,1887.0,True
1211202190,525.0,True
1211202210,21194.0,True
1211202220,27169.0,True
1211202290,131.0,True
1211203100,20.0,True
1211501000,0.0,True
1211901100,0.0,True
1211901200,0.0,True
1211901300,290.0,True
1211901400,783.0,True
1211901500,0.0,True
1211901600,5749.0,True
1211901700,1701.0,True
1211901800,0.0,True
1211901910,815.0,True
1211901920,316.0,True
1211901930,0.0,True
1211901940,76.0,True
1211901950,230822.0,True
1211901960,4549.0,True
1211901970,4895.0,True
1211901980,1967.0,True
1211901993,0.0,True
1211901999,750364.0,True
1211909010,6651.0,True
1211909090,12024.0,True
1212211010,33271512.0,True
1212211090,74073.0,True
1212212010,2069535.0,True
1212212020,406451.0,True
1212212040,90089.0,True
1212212090,116908.0,True
1212213010,938550.0,True
1212213090,0.0,True
1212214010,730.0,True
1212214020,473.0,True
1212214030,4666.0,True
1212214090,6519.0,True
1212215010,56539.0,True
1212215030,521.0,True
1212215090,438688.0,True
1212217029,245371.0,True
1212217039,5955.0,True
1212218029,0.0,True
1212218031,0.0,True
1212218039,3750.0,True
1212219019,0.0,True
1212219091,1511.0,True
1212219099,51652.0,True
1212291090,5849.0,True
1212292010,0.0,True
1212292090,37959.0,True
1212293090,1157.0,True
1212295090,5118.0,True
1212298039,0.0,True
1212299099,0.0,True
1212920000,0.0,True
1212930000,0.0,True
1212992000,113.0,True
1212993000,139.0,True
1212996000,0.0,True
1212999000,2.0,True
1213000000,0.0,True
1214101000,0.0,True
1214109000,0.0,True
1214909011,0.0,True
1214909090,0.0,True
1301200000,939.0,True
1301901000,0.0,True
1301902010,0.0,True
1301902090,0.0,True
1301909000,2303.0,True
1302120000,63270.0,True
1302130000,0.0,True
1302140000,0.0,True
1302191110,284325.0,True
1302191190,1397.0,True
1302191210,1320836.0,True
1302191220,344846.0,True
1302191290,340637.0,True
1302191900,11733.0,True
1302192000,0.0,True
1302193000,0.0,True
1302199010,19258.0,True
1302199020,0.0,True
1302199032,12859.0,True
1302199035,0.0,True
1302199039,203984.0,True
1302199091,0.0,True
1302199099,1143458.0,True
1302200000,91200.0,True
1302311000,15582.0,True
1302312000,411772.0,True
1302319000,1325.0,True
1302320000,273015.0,True
1302390000,1878522.0,True
1401109000,0.0,True
1401200000,0.0,True
1401900000,186.0,True
1404200000,27565.0,True
1404901000,0.0,True
1404902010,0.0,True
1404902090,0.0,True
1404903090,0.0,True
1404904000,0.0,True
1404905000,0.0,True
1404906020,0.0,True
1404906090,0.0,True
1404909000,16036.0,True
1501109000,0.0,True
1501900000,0.0,True
1502101010,0.0,True
1502101090,0.0,True
1502109000,0.0,True
1503002000,141386.0,True
1504101000,0.0,True
1504109000,0.0,True
1504200000,884914.0,True
1504309000,0.0,True
1505001000,0.0,True
1505009000,14277.0,True
1506009000,316312.0,True
1507101000,4273.0,True
1507109000,20.0,True
1507901010,455084.0,True
1507901090,0.0,True
1507909000,60392.0,True
1508901000,0.0,True
1508909000,0.0,True
1509200000,87227.0,True
1509300000,2724.0,True
1509400000,17612.0,True
1509900000,156244.0,True
1510100000,0.0,True
1510900000,893.0,True
1511901000,0.0,True
1511902000,0.0,True
1511909000,1357.0,True
1512111000,0.0,True
1512112000,181.0,True
1512191010,26937.0,True
1512191020,0.0,True
1512199010,12698.0,True
1512299000,0.0,True
1513110000,0.0,True
1513191000,24583.0,True
1513199000,1844.0,True
1513211000,0.0,True
1513291010,0.0,True
1513291020,1920.0,True
1513299000,0.0,True
1514110000,5770.0,True
1514191000,2588.0,True
1514199000,0.0,True
1514991010,732.0,True
1514991020,0.0,True
1514999000,643.0,True
1515110000,0.0,True
1515190000,7197.0,True
1515210000,2013.0,True
1515290000,516723.0,True
1515300000,28229.0,True
1515500000,942455.0,True
1515600000,5.0,True
1515901000,289145.0,True
1515909010,0.0,True
1515909020,109041.0,True
1515909030,8346.0,True
1515909040,2109.0,True
1515909090,207447.0,True
1516101000,9160.0,True
1516109000,29901.0,True
1516201010,0.0,True
1516201020,0.0,True
1516201030,0.0,True
1516201040,2151.0,True
1516201050,3080.0,True
1516202010,43812.0,True
1516202020,1395.0,True
1516202040,0.0,True
1516202050,27333.0,True
1516202090,291805.0,True
