MTI6코드,품목명,원본파일,원본행,MTI1,MTI2,MTI3,MTI4
215030,폴리부타디엔고무,KITA_MTI6_02.xls,82,2,21,215,2150
215040,부틸고무,KITA_MTI6_11.xls,64,2,21,215,2150
215050,클로로프렌고무,KITA_MTI6_10.xls,76,2,21,215,2150
215060,아크릴로니트닐부타디엔,KITA_MTI6_03.xls,93,2,21,215,2150
215070,에틸렌프로필렌고무,KITA_MTI6_03.xls,13,2,21,215,2150
215090,기타합성고무,KITA_MTI6_02.xls,83,2,21,215,2150
219000,기타석유화학제품,KITA_MTI6_01.xls,36,2,21,219,2190
221100,염료,KITA_MTI6_03.xls,23,2,22,221,2211
221200,안료,KITA_MTI6_02.xls,20,2,22,221,2212
222100,도료,KITA_MTI6_02.xls,57,2,22,222,2221
223000,접착제,KITA_MTI6_03.xls,14,2,22,223,2230
224010,윤활제,KITA_MTI6_04.xls,73,2,22,224,2240
225010,현상하지않은필름,KITA_MTI6_04.xls,40,2,22,225,2250
225030,현상한영화필름,KITA_MTI6_04.xls,90,2,22,225,2250
225090,기타사진영화용재료,KITA_MTI6_02.xls,74,2,22,225,2250
226110,농약,KITA_MTI6_02.xls,39,2,22,226,2261
226120,농약원제,KITA_MTI6_04.xls,91,2,22,226,2261
227100,비누,KITA_MTI6_08.xls,7,2,22,227,2271
227310,"향수, 화장수",KITA_MTI6_05..xls,89,2,22,227,2273
227320,"메이크업, 기초화장품",KITA_MTI6_01.xls,19,2,22,227,2273
227330,두발용 제품,KITA_MTI6_03.xls,5,2,22,227,2273
227340,면도용 제품,KITA_MTI6_11.xls,97,2,22,227,2273
227350,인체용 탈취제,KITA_MTI6_09.xls,92,2,22,227,2273
227360,목욕용 제품,KITA_MTI6_09.xls,54,2,22,227,2273
227370,세안용품,KITA_MTI6_02.xls,84,2,22,227,2273
227390,기타화장품,KITA_MTI6_02.xls,22,2,22,227,2273
227900,기타 화장품,KITA_MTI6_06.xls,102,2,22,227,2279
228100,황산,KITA_MTI6_04.xls,52,2,22,228,2281
228200,암모니아수,KITA_MTI6_06.xls,37,2,22,228,2282
228300,수산화나트륨,KITA_MTI6_04.xls,19,2,22,228,2283
228400,과산화수소,KITA_MTI6_05..xls,54,2,22,228,2284
228900,기타정밀화학원료,KITA_MTI6_01.xls,28,2,22,228,2289
