기준월,요청_HSK10,수출액_USD
2025-08-01,8542321010,2615929305.0
2025-08-01,8542321020,836118.0
2025-08-01,8542321030,645465853.0
2025-08-01,8542321090,33547462.0
2025-08-01,8542322000,82723.0
2025-08-01,8542323000,4603682383.0
2025-08-01,8542324000,605101167.0
2025-08-01,8542331000,10138887.0
2025-08-01,8542332000,577507.0
2025-08-01,8542333000,1246238.0
2025-08-01,8542334000,1105768.0
2025-08-01,8542391000,813950005.0
2025-08-01,8542392000,542344.0
2025-08-01,8542393000,16057133.0
2025-08-01,8542394000,13691150.0
2025-08-01,8542900000,31618850.0
2025-08-01,8543901000,55807.0
2025-08-01,8548001000,14113.0
2025-09-01,3818001000,85011095.0
2025-09-01,3818002010,123171.0
2025-09-01,3818002090,142313783.0
2025-09-01,8473304060,2445381041.0
2025-09-01,8523521000,17106884.0
2025-09-01,8523522000,293264.0
2025-09-01,8523529000,1087614.0
2025-09-01,8541101000,4308332.0
2025-09-01,8541109000,20635009.0
2025-09-01,8541211000,21741687.0
2025-09-01,8541219000,12233518.0
2025-09-01,8541291000,91755952.0
2025-09-01,8541299000,23255569.0
2025-09-01,8541301000,29977.0
2025-09-01,8541302000,420814.0
2025-09-01,8541303000,13888.0
2025-09-01,8541304000,15760.0
2025-09-01,8541411000,1212389.0
2025-09-01,8541419000,26631323.0
2025-09-01,8541420000,17654032.0
2025-09-01,8541491000,5623138.0
2025-09-01,8541492000,64.0
2025-09-01,8541493000,41107673.0
2025-09-01,8541499000,4865428.0
2025-09-01,8541511000,1368142.0
2025-09-01,8541512000,136100.0
2025-09-01,8541513000,4014.0
2025-09-01,8541514000,85026.0
2025-09-01,8541591000,16254877.0
2025-09-01,8541599000,1459687.0
2025-09-01,8541601000,3848398.0
2025-09-01,8541609000,2726346.0
2025-09-01,8541902000,890923.0
2025-09-01,8541903000,1417217.0
2025-09-01,8541909000,6149324.0
2025-09-01,8542311000,2239434620.0
2025-09-01,8542312000,292690.0
2025-09-01,8542313000,272488889.0
2025-09-01,8542314000,688304879.0
2025-09-01,8542321010,2654060655.0
2025-09-01,8542321020,680043.0
2025-09-01,8542321030,706729598.0
2025-09-01,8542321090,32746246.0
2025-09-01,8542322000,29798.0
2025-09-01,8542323000,5233972132.0
2025-09-01,8542324000,717756278.0
2025-09-01,8542331000,8783620.0
2025-09-01,8542332000,774008.0
2025-09-01,8542333000,1675075.0
2025-09-01,8542334000,1122620.0
2025-09-01,8542391000,1000332237.0
2025-09-01,8542392000,534429.0
2025-09-01,8542393000,15165787.0
2025-09-01,8542394000,12545820.0
2025-09-01,8542900000,36287995.0
2025-09-01,8543901000,99126.0
2025-09-01,8548001000,3531.0
2025-10-01,3818001000,88689667.0
2025-10-01,3818002010,22563.0
2025-10-01,3818002090,141305531.0
2025-10-01,8473304060,2001900931.0
2025-10-01,8523521000,12190084.0
2025-10-01,8523522000,271455.0
2025-10-01,8523529000,2026818.0
2025-10-01,8541101000,5442842.0
2025-10-01,8541109000,18565258.0
2025-10-01,8541211000,10227512.0
2025-10-01,8541219000,11001215.0
2025-10-01,8541291000,87072338.0
2025-10-01,8541299000,16599535.0
2025-10-01,8541301000,24556.0
2025-10-01,8541302000,288176.0
2025-10-01,8541303000,52459.0
2025-10-01,8541304000,14058.0
2025-10-01,8541411000,1159178.0
2025-10-01,8541419000,19960221.0
2025-10-01,8541420000,25092052.0
2025-10-01,8541491000,10012476.0
2025-10-01,8541492000,40946.0
2025-10-01,8541493000,34112418.0
2025-10-01,8541499000,4824854.0
