기준월,HSK10,수출액_USD,MTI6,산업20
2025-01-01,0405200000,0.0,024330,농수산식품
2025-01-01,0405900000,23.0,024330,농수산식품
2025-01-01,0406101010,919.0,024340,농수산식품
2025-01-01,0406101020,1957.0,024340,농수산식품
2025-01-01,0406101090,23267.0,024340,농수산식품
2025-01-01,0406102000,0.0,024340,농수산식품
2025-01-01,0406200000,7969.0,024340,농수산식품
2025-01-01,0406300000,265946.0,024340,농수산식품
2025-01-01,0406400000,0.0,024340,농수산식품
2025-01-01,0406901000,772.0,024340,농수산식품
2025-01-01,0406902000,0.0,024340,농수산식품
2025-01-01,0406903000,0.0,024340,농수산식품
2025-01-01,0406904000,0.0,024340,농수산식품
2025-01-01,0406909000,156510.0,024340,농수산식품
2025-01-01,0407210000,267784.0,024400,농수산식품
2025-01-01,0407290000,33084.0,024400,농수산식품
2025-01-01,0407900000,1387.0,024400,농수산식품
2025-01-01,0408110000,0.0,024400,농수산식품
2025-01-01,0408190000,0.0,024400,농수산식품
2025-01-01,0408910000,5180.0,024400,농수산식품
2025-01-01,0408991000,0.0,024400,농수산식품
2025-01-01,0408999000,58285.0,024400,농수산식품
2025-01-01,0409000000,52274.0,024210,농수산식품
2025-01-01,0410100000,157.0,022910,농수산식품
2025-01-01,0410901000,0.0,023900,농수산식품
2025-01-01,0410902000,0.0,024220,농수산식품
2025-01-01,0410909000,64.0,023900,농수산식품
2025-01-01,0502100000,0.0,025000,농수산식품
2025-01-01,0502900000,0.0,025000,농수산식품
2025-01-01,0504001010,0.0,022990,농수산식품
2025-01-01,0504001021,0.0,022990,농수산식품
2025-01-01,0504001029,0.0,022990,농수산식품
2025-01-01,0504001031,0.0,022990,농수산식품
2025-01-01,0504001090,0.0,022990,농수산식품
2025-01-01,0504003000,0.0,022990,농수산식품
2025-01-01,0505100000,2109475.0,025000,농수산식품
2025-01-01,0506902000,0.0,023290,농수산식품
2025-01-01,0506909000,0.0,023290,농수산식품
2025-01-01,0507901110,0.0,023310,농수산식품
2025-01-01,0507901190,21311.0,023310,농수산식품
2025-01-01,0508002020,28.0,525200,생활용품
2025-01-01,0508002030,0.0,525200,생활용품
2025-01-01,0508002060,2926.0,525200,생활용품
2025-01-01,0508002090,0.0,525200,생활용품
2025-01-01,0508009000,51296.0,525900,생활용품
2025-01-01,0510003000,0.0,023390,농수산식품
2025-01-01,0510004000,0.0,023390,농수산식품
2025-01-01,0510009000,0.0,023900,농수산식품
2025-01-01,0511100000,0.0,023900,농수산식품
2025-01-01,0511911010,0.0,047000,농수산식품
2025-01-01,0511911090,0.0,047000,농수산식품
2025-01-01,0511912000,0.0,047000,농수산식품
2025-01-01,0511919000,330880.0,047000,농수산식품
2025-01-01,0511991000,0.0,023900,농수산식품
2025-01-01,0511992090,0.0,023900,농수산식품
2025-01-01,0511994000,0.0,023900,농수산식품
2025-01-01,0511996000,0.0,047000,농수산식품
2025-01-01,0511999020,5866.0,019000,농수산식품
2025-01-01,0511999030,0.0,023900,농수산식품
2025-01-01,0511999040,154889.0,023900,농수산식품
2025-01-01,0511999090,200277.0,023900,농수산식품
2025-01-01,0601105000,0.0,012207,농수산식품
2025-01-01,0601106000,0.0,012208,농수산식품
2025-01-01,0601107000,0.0,012209,농수산식품
2025-01-01,0601109000,0.0,012290,농수산식품
2025-01-01,0601209090,3128.0,012290,농수산식품
2025-01-01,0602100000,0.0,032100,농수산식품
2025-01-01,0602204000,0.0,012990,농수산식품
2025-01-01,0602209000,0.0,012990,농수산식품
2025-01-01,0602300000,0.0,012290,농수산식품
2025-01-01,0602400000,411.0,012201,농수산식품
2025-01-01,0602901010,24800.0,012211,농수산식품
2025-01-01,0602901030,0.0,012290,농수산식품
2025-01-01,0602901060,48675.0,012290,농수산식품
2025-01-01,0602901090,200825.0,012290,농수산식품
2025-01-01,0602902021,0.0,032100,농수산식품
2025-01-01,0602902029,0.0,032100,농수산식품
