산업20,소분류코드,공식소분류명,신성질코드,신성질품목명,시작월,종료월,상태,item수,resultCode,resultMsg
일반기계,32030000,3)일반기계,32030501,(액체 및 기체 여과기계),202501,202512,OK,1468,00,정상서비스.
일반기계,32030000,3)일반기계,32030501,(액체 및 기체 여과기계),202601,202608,OK,969,00,정상서비스.
일반기계,32030000,3)일반기계,32030502,(액체 및 기체 여과기계 부품),202501,202512,OK,757,00,정상서비스.
일반기계,32030000,3)일반기계,32030502,(액체 및 기체 여과기계 부품),202601,202608,OK,476,00,정상서비스.
일반기계,32030000,3)일반기계,32030601,(경작기계),202501,202512,OK,204,00,정상서비스.
일반기계,32030000,3)일반기계,32030601,(경작기계),202601,202608,OK,123,00,정상서비스.
일반기계,32030000,3)일반기계,32030602,(수확·탈곡기계),202501,202512,OK,183,00,정상서비스.
일반기계,32030000,3)일반기계,32030602,(수확·탈곡기계),202601,202608,OK,111,00,정상서비스.
일반기계,32030000,3)일반기계,32030603,(낙농기계),202501,202512,OK,11,00,정상서비스.
일반기계,32030000,3)일반기계,32030603,(낙농기계),202601,202608,OK,2,00,정상서비스.
일반기계,32030000,3)일반기계,32030604,(농기계 부품),202501,202512,OK,415,00,정상서비스.
일반기계,32030000,3)일반기계,32030604,(농기계 부품),202601,202608,OK,257,00,정상서비스.
일반기계,32030000,3)일반기계,32030690,(기타 농기계),202501,202512,OK,307,00,정상서비스.
일반기계,32030000,3)일반기계,32030690,(기타 농기계),202601,202608,OK,199,00,정상서비스.
일반기계,32030000,3)일반기계,32030701,(금속절삭가공기계),202501,202512,OK,724,00,정상서비스.
일반기계,32030000,3)일반기계,32030701,(금속절삭가공기계),202601,202608,OK,448,00,정상서비스.
일반기계,32030000,3)일반기계,32030702,(금속성형가공기계),202501,202512,OK,444,00,정상서비스.
일반기계,32030000,3)일반기계,32030702,(금속성형가공기계),202601,202608,OK,275,00,정상서비스.
일반기계,32030000,3)일반기계,32030703,(광물가공기계),202501,202512,OK,350,00,정상서비스.
일반기계,32030000,3)일반기계,32030703,(광물가공기계),202601,202608,OK,239,00,정상서비스.
일반기계,32030000,3)일반기계,32030704,(목재가공기계),202501,202512,OK,225,00,정상서비스.
