산업순위,산업20,기준월,수출액_USD,수출액_bn,MoM_%,YoY_%,3M_YoY_%,세세분류수
15,화장품,202504,535451.0,0.000535451,310.18469576141996,,,8
15,화장품,202505,154337.0,0.000154337,-71.17626075962133,,,8
15,화장품,202506,153262.0,0.000153262,-0.6965277282829141,,,8
15,화장품,202507,163004.0,0.000163004,6.356435385157444,,,8
15,화장품,202508,232778.0,0.000232778,42.80508453780276,,,8
15,화장품,202509,304228.0,0.000304228,30.694481437249223,,,8
15,화장품,202510,100220.0,0.00010022,-67.05760153569034,,,8
15,화장품,202511,115348.0,0.000115348,15.094791458790668,,,8
15,화장품,202512,409952.0,0.000409952,255.4045150327704,,,8
15,화장품,202601,483919.0,0.000483919,18.042844040277895,80.96856827658421,,8
15,화장품,202602,319959.0,0.000319959,-33.881703342914825,318.4932313125368,,8
15,화장품,202603,12907.0,1.2907e-05,-95.96604564959885,-90.11253341913145,72.17258046496727,8
15,화장품,202604,55840.0,5.584e-05,332.633454714496,-89.57140802799883,-47.64514543164814,8
15,화장품,202605,130679.0,0.000130679,134.02399713467048,-15.32879348438806,-75.68945067028149,8
15,화장품,202606,276349.0,0.000276349,111.47162130105066,80.3114927379259,-45.09602040211138,8
15,화장품,202607,387536.0,0.000387536,40.23426898595617,137.74631297391474,68.83955265903532,8
15,화장품,202608,356834.0,0.000356834,-7.922360761322822,53.293696139669564,85.90841535468925,8
17,섬유류,202501,30147776.0,0.030147776,,,,37
17,섬유류,202502,22505182.0,0.022505182,-25.350440443766065,,,39
17,섬유류,202503,16174729.0,0.016174729,-28.12886827575978,,,37
17,섬유류,202504,33994126.0,0.033994126,110.16813326516939,,,38
17,섬유류,202505,27133872.0,0.027133872,-20.180704160477603,,,39
17,섬유류,202506,21832735.0,0.021832735,-19.536972091561424,,,38
17,섬유류,202507,21875339.0,0.021875339,0.19513817210716766,,,37
17,섬유류,202508,23304591.0,0.023304591,6.5336221760951885,,,39
17,섬유류,202509,34133736.0,0.034133736,46.46786120382889,,,37
17,섬유류,202510,24944655.0,0.024944655,-26.920818160660765,,,37
17,섬유류,202511,32698646.0,0.032698646,31.08477948482351,,,40
17,섬유류,202512,43605636.0,0.043605636,33.35609064668916,,,38
17,섬유류,202601,30811304.0,0.030811304,-29.341005369122463,2.2009185685869515,,41
17,섬유류,202602,67499513.0,0.067499513,119.07386003526499,199.92875862990132,,38
17,섬유류,202603,35129461.0,0.035129461,-47.95597858609736,117.18732350940782,93.87587149340062,37
