산업,MTI3,MTI4,MTI6코드,품목명,매칭키워드
화장품,227,2273,227320,"메이크업, 기초화장품","화장품, 메이크업, 기초화장품"
화장품,227,2273,227390,기타화장품,화장품
화장품,227,2279,227900,기타 화장품,화장품
생활용품,031,0318,031890,기타목재생활용품,생활용품
생활용품,511,5110,511040,구강및치과위생용품,위생용품
생활용품,512,5121,512190,기타가구,가구
생활용품,512,5129,512900,기타가구,가구
생활용품,516,5161,516110,자기제 식탁용품 및 주방용품,주방용품
생활용품,516,5161,516120,도자제 식탁용품 및 주방용품,주방용품
생활용품,516,5161,516130,유리제 식탁용품 및 주방용품,주방용품
생활용품,516,5161,516140,철강제 식탁용품 및 주방용품,주방용품
생활용품,516,5161,516150,구리제 식탁용품 및 주방용품,주방용품
생활용품,516,5161,516160,알루미늄제 식탁용품 및 주방용품,주방용품
생활용품,529,5290,529000,기타 생활용품,생활용품
생활용품,950,9509,950990,기타의료위생용품,위생용품
섬유,031,0315,031500,섬유판,섬유
섬유,411,4111,411100,폴리에스터 섬유,섬유
섬유,411,4112,411200,아크릴섬유,섬유
섬유,411,4113,411310,나일론섬유,섬유
섬유,411,4113,411320,아라미드섬유,섬유
섬유,411,4119,411900,기타합성섬유,섬유
섬유,412,4121,412100,비스코스섬유,섬유
섬유,412,4122,412200,아세테이트섬유,섬유
섬유,412,4129,412900,기타재생섬유,섬유
섬유,413,4139,413900,기타천연섬유원료,섬유
섬유,422,4225,422500,탄소섬유사,섬유
섬유,422,4229,422900,기타인조섬유장섬유사,섬유
섬유,423,4239,423900,기타인조섬유방적사,섬유
섬유,431,4311,431110,홀치기 견직물,직물
섬유,431,4311,431190,기타순견직물,직물
섬유,431,4312,431200,혼방견직물,직물
섬유,431,4319,431900,견노일직물,직물
섬유,432,4321,432100,소모직물,직물
섬유,432,4322,432200,방모직물,직물
섬유,432,4329,432900,기타모직물,직물
섬유,434,4341,434100,나일론직물,직물
섬유,434,4342,434200,폴리에스터직물,직물
섬유,434,4343,434300,기타합섬직물,직물
섬유,434,4349,434900,재생직물,직물
섬유,435,4351,435110,P/C직물,직물
섬유,435,4351,435120,P/W직물,직물
섬유,435,4351,435190,기타폴리에스터직물,직물
섬유,435,4352,435210,아크릴단섬유직물,"섬유, 직물"
섬유,435,4352,435220,기타 단섬유직물,"섬유, 직물"
섬유,435,4359,435910,순재생단섬유직물,"섬유, 직물"
섬유,435,4359,435990,혼방재생단섬유직물,"섬유, 직물"
섬유,436,4360,436000,편직물,직물
섬유,439,4391,439100,마직물,직물
섬유,439,4394,439400,파일셔어닐직물,직물
섬유,439,4396,439610,탄소섬유직물,"섬유, 직물"
섬유,439,4399,439910,유리섬유 직물,"섬유, 직물"
섬유,439,4399,439990,기타의직물,직물
섬유,441,4411,441117,코팅제의류,의류
섬유,441,4411,441118,기타편직제의류,의류
섬유,441,4411,441190,기타의류,의류
섬유,441,4412,441216,유아용의류,의류
섬유,441,4412,441217,코팅제의류,의류
섬유,441,4412,441220,의류부속품 및 부분품,의류
섬유,441,4413,441301,고무제의류,의류
섬유,441,4413,441302,혁제의류,의류
섬유,441,4413,441303,모피의류,의류
섬유,442,4421,442110,직물제가방,직물
섬유,449,4490,449090,기타의 섬유제품,섬유
섬유,713,7131,713100,섬유기계,섬유
섬유,713,7134,713400,섬유및피혁가공기계부품,섬유
