MTI코드,코드길이,품목명,행,코드열,품목명열
249000,6,6단위,1250,1,2
25,2,2단위,23,1,2
251,3,3단위,127,1,2
2511,4,4단위,438,1,2
251100,6,6단위,1251,1,2
2512,4,4단위,439,1,2
251200,6,6단위,1252,1,2
252,3,3단위,128,1,2
2521,4,4단위,440,1,2
252100,6,6단위,1253,1,2
2522,4,4단위,441,1,2
252200,6,6단위,1254,1,2
2523,4,4단위,442,1,2
252300,6,6단위,1255,1,2
2524,4,4단위,443,1,2
252400,6,6단위,1256,1,2
2525,4,4단위,444,1,2
252500,6,6단위,1257,1,2
2526,4,4단위,445,1,2
252600,6,6단위,1258,1,2
2527,4,4단위,446,1,2
252700,6,6단위,1259,1,2
2529,4,4단위,447,1,2
252900,6,6단위,1260,1,2
26,2,2단위,24,1,2
261,3,3단위,129,1,2
2610,4,4단위,448,1,2
261000,6,6단위,1261,1,2
262,3,3단위,130,1,2
2620,4,4단위,449,1,2
262000,6,6단위,1262,1,2
27,2,2단위,25,1,2
271,3,3단위,131,1,2
2710,4,4단위,450,1,2
271000,6,6단위,1263,1,2
272,3,3단위,132,1,2
2720,4,4단위,451,1,2
272000,6,6단위,1264,1,2
29,2,2단위,26,1,2
290,3,3단위,133,1,2
2900,4,4단위,452,1,2
290010,6,6단위,1265,1,2
290020,6,6단위,1266,1,2
290090,6,6단위,1267,1,2
3,1,1단위,4,1,2
31,2,2단위,27,1,2
310,3,3단위,134,1,2
3101,4,4단위,453,1,2
310100,6,6단위,1268,1,2
3102,4,4단위,454,1,2
310200,6,6단위,1269,1,2
3103,4,4단위,455,1,2
310310,6,6단위,1270,1,2
310320,6,6단위,1271,1,2
310330,6,6단위,1272,1,2
310340,6,6단위,1273,1,2
3109,4,4단위,456,1,2
310900,6,6단위,1274,1,2
32,2,2단위,28,1,2
320,3,3단위,135,1,2
3201,4,4단위,457,1,2
320100,6,6단위,1275,1,2
3202,4,4단위,458,1,2
320200,6,6단위,1276,1,2
3203,4,4단위,459,1,2
320310,6,6단위,1277,1,2
320320,6,6단위,1278,1,2
320390,6,6단위,1279,1,2
