산업,alias,공식MTI코드,공식품목명,코드길이,점수,행
섬유,섬유,2026,섬유및피혁가공기계부품,4,62,633
섬유,섬유,031500,섬유판,6,53,1063
섬유,섬유,713100,섬유기계,6,53,1696
섬유,섬유,713400,섬유및피혁가공기계부품,6,53,1699
섬유,섬유,411,인조섬유,3,28,139
섬유,섬유,412,재생섬유,3,28,140
섬유,섬유,413,천연섬유,3,28,141
섬유,섬유,421,천연섬유사,3,28,142
섬유,섬유,422,인조섬유장섬유사,3,28,143
섬유,섬유,423,인조섬유방적사,3,28,144
섬유,섬유,434,인조장섬유직물,3,28,148
섬유,섬유,435,인조단섬유직물,3,28,149
섬유,섬유,449,기타섬유제품,3,28,155
섬유,섬유,4111,폴리에스터섬유,4,23,470
섬유,섬유,4112,아크릴섬유,4,23,471
