산업,공식상위MTI,공식상위품목명,MTI6코드,MTI6품목명
비철금속,62,비철금속제품,622130,동스크랩
비철금속,62,비철금속제품,622210,동분
비철금속,62,비철금속제품,622220,동봉
비철금속,62,비철금속제품,622230,동선
비철금속,62,비철금속제품,622240,동판
비철금속,62,비철금속제품,622250,동박
비철금속,62,비철금속제품,622260,동관
비철금속,62,비철금속제품,622270,동관연결구류
비철금속,62,비철금속제품,622900,기타동제품
비철금속,62,비철금속제품,623110,미정제니켈괴
비철금속,62,비철금속제품,623120,니켈괴
비철금속,62,비철금속제품,623130,니켈스크랩
비철금속,62,비철금속제품,623210,니켈분
비철금속,62,비철금속제품,623220,니켈봉및선재
비철금속,62,비철금속제품,623230,니켈박
비철금속,62,비철금속제품,623240,니켈판및대
비철금속,62,비철금속제품,623250,니켈관
비철금속,62,비철금속제품,623260,니켈관연결구류
비철금속,62,비철금속제품,623900,기타니켈제품
비철금속,62,비철금속제품,624110,마그네슘괴
비철금속,62,비철금속제품,624120,마그네슘스크랩
비철금속,62,비철금속제품,624200,마그네슘조가공품
비철금속,62,비철금속제품,624900,기타 마그네슘 제품
비철금속,62,비철금속제품,625110,연괴
비철금속,62,비철금속제품,625120,연스크랩
비철금속,62,비철금속제품,625210,연봉및선재
비철금속,62,비철금속제품,625220,연분
비철금속,62,비철금속제품,625230,연박
비철금속,62,비철금속제품,625240,연판및대
비철금속,62,비철금속제품,625250,연관및연결구류
비철금속,62,비철금속제품,625900,기타납제품
비철금속,62,비철금속제품,626110,아연괴
비철금속,62,비철금속제품,626120,아연스크랩
비철금속,62,비철금속제품,626210,아연분및더스트
비철금속,62,비철금속제품,626220,아연봉및선재
비철금속,62,비철금속제품,626230,아연판및대
비철금속,62,비철금속제품,626240,아연박
비철금속,62,비철금속제품,626250,아연관
비철금속,62,비철금속제품,626260,아연관연결구류
비철금속,62,비철금속제품,626900,기타아연제품
비철금속,62,비철금속제품,627110,주석괴
비철금속,62,비철금속제품,627120,주석스크랩
비철금속,62,비철금속제품,627210,주석분
비철금속,62,비철금속제품,627220,주석봉및선재
비철금속,62,비철금속제품,627230,주석판및대
비철금속,62,비철금속제품,627240,주석박
비철금속,62,비철금속제품,627900,기타주석제품
비철금속,62,비철금속제품,628110,텅스텐괴및스크랩
비철금속,62,비철금속제품,628190,기타텅스텐제품
비철금속,62,비철금속제품,628210,몰리브덴괴및스크랩
비철금속,62,비철금속제품,628290,기타몰리브덴제품
비철금속,62,비철금속제품,628300,망간제품
비철금속,62,비철금속제품,629000,기타비철금속제품
전기기기,84,전기기기,841110,원자로 및 부분품
전기기기,84,전기기기,841121,태양광 직류발전기
전기기기,84,전기기기,841129,기타직류발전기
전기기기,84,전기기기,841131,태양광 교류발전기
전기기기,84,전기기기,841139,기타교류발전기
전기기기,84,전기기기,841140,엔진결합발전세트
전기기기,84,전기기기,841150,풍력발전세트
전기기기,84,전기기기,841170,기타발전세트
전기기기,84,전기기기,841180,태양광모듈
전기기기,84,전기기기,841210,유입식 변압기
전기기기,84,전기기기,841220,건식 변압기
전기기기,84,전기기기,841230,변성기
전기기기,84,전기기기,841240,전압조정기
전기기기,84,전기기기,841310,고압 개폐기 및 차단기
전기기기,84,전기기기,841320,저압스위치 및 차단기
전기기기,84,전기기기,841330,고압회로접속기
전기기기,84,전기기기,841340,애자
전기기기,84,전기기기,841390,기타회로보호용기기
전기기기,84,전기기기,841420,고압배전반
전기기기,84,전기기기,841430,고압자동제어반
전기기기,84,전기기기,841440,전력량계
전기기기,84,전기기기,841510,저압케이블
전기기기,84,전기기기,841520,고압케이블
전기기기,84,전기기기,842110,권선
전기기기,84,전기기기,842120,동축케이블
전기기기,84,전기기기,842130,와이어하네스
전기기기,84,전기기기,842140,통신선
전기기기,84,전기기기,842150,절연코드세트
전기기기,84,전기기기,842160,광케이블
전기기기,84,전기기기,842210,소형전동기
전기기기,84,전기기기,842220,교류 및 직류겸용 전동기
전기기기,84,전기기기,842230,직류전동기
전기기기,84,전기기기,842310,안정기
전기기기,84,전기기기,842320,정류기
전기기기,84,전기기기,842330,무정전전원장치
전기기기,84,전기기기,842340,인버터
전기기기,84,전기기기,842350,밧데리충전기
전기기기,84,전기기기,842360,파워팩
전기기기,84,전기기기,842370,아답터
전기기기,84,전기기기,842380,파워서플라이
전기기기,84,전기기기,842390,기타정지형변환기
전기기기,84,전기기기,842410,실험실용 전기로
전기기기,84,전기기기,842420,금속공업용 전기로
전기기기,84,전기기기,842430,식품공업용 전기로
전기기기,84,전기기기,842490,기타용의 전기로
전기기기,84,전기기기,842510,수치제어반
전기기기,84,전기기기,842520,프로그램이 가능한 제어기
전기기기,84,전기기기,842530,자동제어반
전기기기,84,전기기기,842910,전자석
전기기기,84,전기기기,842990,기타 기기
전기기기,84,전기기기,849110,전동기 부분품
전기기기,84,전기기기,849120,발전기 부분품
전기기기,84,전기기기,849210,변환장치 부분품
전기기기,84,전기기기,849220,배전보드
전기기기,84,전기기기,849230,개폐기부분품
전기기기,84,전기기기,849240,차단기 부분품
전기기기,84,전기기기,849250,계전기 부분품
전기기기,84,전기기기,849260,제어반 부분품
전기기기,84,전기기기,849310,탄소 제품 부품
전기기기,84,전기기기,849490,기타 절연 제품 부품
전기기기,84,전기기기,849910,전자담배
